dataset,filename,type,PSNR,SSIM,BRISQUE,NIQE
dataset2,uieb_711_img_.png,original,27.988606808778034,0.8488566661051247,,75.30629949246611
dataset2,uieb_720_img_.png,original,28.307185162010544,0.8972547898725272,,42.173546296566386
dataset2,uieb_754_img_.png,original,29.92914535021889,0.9555909371486806,,31.02956720896823
dataset2,uieb_760_img_.png,original,27.839135580927135,0.8868408958934312,,11.489650833819105
dataset2,uieb_772_img_.png,original,28.0612891760354,0.826173532740431,,35.525212429169486
dataset2,uieb_775_img_.png,original,28.40702289604718,0.9284321137946688,,43.25859624195931
dataset2,uieb_786_img_.png,original,28.560542242533845,0.918257212174861,,48.45041935274883
dataset2,uieb_7916.png,original,28.127361922935545,0.8364713960128838,,82.10422009136937
dataset2,uieb_791_img_.png,original,28.632821556095614,0.9500023560298948,,60.46157347383998
dataset2,uieb_80_img_.png,original,27.989034297426908,0.78949634648835,,47.15108337922417
dataset2,uieb_818_img_.png,original,27.709900944674626,0.8912087835153935,,73.94520121535187
dataset2,uieb_8288.png,original,28.057066743150983,0.7828976289334233,,64.67979045394834
dataset2,uieb_832_img_.png,original,32.10009767012343,0.993103588385503,,3.7895365551159728
dataset2,uieb_834_img_.png,original,28.395673193871186,0.9520843127255458,,40.79286713995336
dataset2,uieb_841.png,original,28.17630912497025,0.8761606225768069,,61.37602541165917
dataset2,uieb_843_img_.png,original,30.53858175107482,0.9592351436881882,,29.0807366347303
dataset2,uieb_847_img_.png,original,27.839028842923366,0.7947333849986445,,53.66114649097552
dataset2,uieb_856_img_.png,original,28.494913595786638,0.9368564465842063,,17.479571842822082
dataset2,uieb_862_img_.png,original,28.654283016093967,0.9507261026502367,,23.601479077781185
dataset2,uieb_871_img_.png,original,28.59781447204584,0.9114667652199534,,60.47444008549102
dataset2,uieb_874_img_.png,original,27.746365689034,0.6620093737208635,,75.22706147247287
dataset2,uieb_887_img_.png,original,28.37939659887382,0.9618194350534556,,20.28233422340646
dataset2,uieb_893_img_.png,original,28.335913618986886,0.8401155974821568,,57.132885837496666
dataset2,uieb_908_img_.png,original,27.86458026228886,0.5160372667885396,,62.18413440743264
dataset2,uieb_9554.png,original,28.117906475371555,0.8338497980738622,,39.49294256170901
dataset2,uieb_97_img_.png,original,27.73328092142924,0.521208992203436,,51.53899753882183
dataset2,uieb_9896.png,original,28.287785197557184,0.8257809630039199,,55.796351853430906
dataset2,uieb_98_img_.png,original,27.840802143462327,0.8971308556974774,,67.18107925143048
