dataset,filename,resize_percent,PSNR,SSIM,BRISQUE,NIQE
dataset2,uieb_481_img_.png,75,28.19711887491868,0.8862183090766785,,54.992109306423515
dataset2,uieb_481_img_.png,100,28.190433666102457,0.8854462890173398,,54.78713819230224
dataset2,uieb_485_img_.png,25,28.089278325728824,0.7758133098048632,,64.27504066528189
dataset2,uieb_485_img_.png,50,28.075349058545555,0.8109067370058486,,64.1845704353117
dataset2,uieb_485_img_.png,75,28.073429961630545,0.8253482042702556,,64.27749753009647
dataset2,uieb_485_img_.png,100,28.081249049849852,0.8333486635547469,,64.22029621694226
dataset2,uieb_489_img_.png,25,28.031591161302853,0.8882374447845266,,66.71084665637278
dataset2,uieb_489_img_.png,50,28.031545087161668,0.8993697320087153,,66.6939522326542
dataset2,uieb_489_img_.png,75,28.031329036191018,0.9066238967256164,,66.8003649630275
dataset2,uieb_489_img_.png,100,28.03198100553883,0.9122174284846342,,66.63451376251393
dataset2,uieb_503_img_.png,25,28.011500582587527,0.6885959168985641,,50.40968993178575
dataset2,uieb_503_img_.png,50,28.001543569730977,0.7248610263524635,,50.318806361419355
dataset2,uieb_503_img_.png,75,27.99900462404597,0.7504123818339987,,50.452725882574846
dataset2,uieb_503_img_.png,100,28.0032194251578,0.765819213074576,,50.326023704243525
dataset2,uieb_527_img_.png,25,27.93910129568804,0.8843879034732872,,47.74154478761229
dataset2,uieb_527_img_.png,50,27.93012861507978,0.8924158725140785,,48.265918060506
dataset2,uieb_527_img_.png,75,27.934822832525093,0.8972249856617039,,47.71700469967088
dataset2,uieb_527_img_.png,100,27.935321692952808,0.8988802888675256,,47.22219855427528
dataset2,uieb_52_img_.png,25,27.926469953244858,0.7798492948500065,,54.93485713041676
dataset2,uieb_52_img_.png,50,27.931675449535053,0.7655031499408042,,54.933618262963
dataset2,uieb_52_img_.png,75,27.922465528817778,0.7584962286156925,,54.951634549950995
dataset2,uieb_52_img_.png,100,27.862936185616228,0.7529225370007775,,54.359503277005174
dataset2,uieb_537_img_.png,25,27.72757938141801,0.8384529013060206,,62.780040477880455
dataset2,uieb_537_img_.png,50,27.735574009737913,0.8273341011340924,,62.4767013345243
dataset2,uieb_537_img_.png,75,27.735324712180685,0.8241826882302151,,62.38071353394297
dataset2,uieb_537_img_.png,100,27.739332355709237,0.8227493765304639,,61.63439721669056
