dataset,filename,type,PSNR,SSIM,BRISQUE,NIQE,time
dataset2,uieb_192_img_.png,processed,28.39134909502394,0.9397308828493187,10.745987040370181,20.45008240408489,0.0012345314025878906
dataset2,uieb_206_img_.png,processed,29.178292935844592,0.9577297065590545,26.810106170158832,22.709444634337487,0.0010004043579101562
dataset2,uieb_236_img_.png,processed,28.271830632335405,0.8887853809235841,20.328841173481777,27.523001628202742,0.0030002593994140625
dataset2,uieb_265_img_.png,processed,28.108129826784584,0.8703475380482736,5.594851567424229,36.74387730650019,0.0010442733764648438
dataset2,uieb_26_img_.png,processed,27.89056673502865,0.8738075474294419,16.297621842579105,45.984503372837,0.0009992122650146484
dataset2,uieb_28_img_.png,processed,27.990138313200053,0.8275845585496162,33.377314522392425,8.199368438382322,0.0063419342041015625
dataset2,uieb_305_img_.png,processed,27.94939864812453,0.9439287377304215,16.236296071618852,46.66249324403707,0.0010213851928710938
dataset2,uieb_3202.png,processed,27.744408424506855,0.9182807114603189,56.48331277470854,67.90153993061028,0.005014657974243164
dataset2,uieb_343_img_.png,processed,28.270004972811506,0.9499067188745544,12.39530744976284,26.314113109855086,0.0014891624450683594
dataset2,uieb_346_img_.png,processed,28.05007434210218,0.9183665170893691,15.254499649149892,10.944076525087276,0.0010044574737548828
dataset2,uieb_348_img_.png,processed,28.14512217581321,0.9360258232484221,3.8094898887454463,45.29443028186481,0.0
dataset2,uieb_353_img_.png,processed,28.029831846342187,0.9308329407179686,27.95348409405935,34.45988516284941,0.0
dataset2,uieb_367_img_.png,processed,27.95091789870426,0.8755541868582256,14.762255582024153,9.566279557249885,0.0
dataset2,uieb_387_img_.png,processed,27.785277515893597,0.8705706633142548,41.113215523411526,87.63383139919512,0.001955747604370117
dataset2,uieb_393_img_.png,processed,28.113363432097735,0.9397686039201927,39.862641635104154,21.377642839434422,0.0019996166229248047
dataset2,uieb_406_img_.png,processed,27.725232396082788,0.9174120334364034,31.49892054303811,41.10752794180293,0.001001596450805664
dataset2,uieb_415_img_.png,processed,28.001684437270143,0.8955757665491447,38.055081125629584,41.50419184480085,0.0030181407928466797
dataset2,uieb_417_img_.png,processed,28.113815036457762,0.9367244765874752,22.600291399407723,52.63209817300393,0.0021402835845947266
dataset2,uieb_419_img_.png,processed,27.857244172353056,0.888202939368417,26.950461568986356,60.840495162668454,0.0019690990447998047
dataset2,uieb_421_img_.png,processed,28.15798080327893,0.8316172529701518,12.112904727128551,44.05935093209521,0.0
dataset2,uieb_425_img_.png,processed,27.838529080670025,0.9139614044048291,20.581401468823714,22.023453231994495,0.0009937286376953125
dataset2,uieb_463_img_.png,processed,28.182504668766054,0.974734275413241,18.00934768019917,23.584129428379477,0.0
dataset2,uieb_481_img_.png,processed,27.901367267927846,0.9217570077010623,30.11810616804061,44.34466699791977,0.0009965896606445312
dataset2,uieb_485_img_.png,processed,27.956986961701034,0.9221287905299808,44.96495275356594,55.932623903451514,0.0049953460693359375
dataset2,uieb_489_img_.png,processed,28.09981246394347,0.928501951474101,23.54936608889213,27.160220846004435,0.009000062942504883
dataset2,uieb_503_img_.png,processed,28.294263727806804,0.9188755928077117,24.808426674519723,37.34533982576875,0.003022909164428711
dataset2,uieb_527_img_.png,processed,28.355859292683427,0.9522029407357248,14.84286619435963,26.214383191510613,0.0019986629486083984
dataset2,uieb_52_img_.png,processed,28.220911765580517,0.9393321817921875,57.088130311277126,20.35457635969771,0.0009849071502685547
dataset2,uieb_537_img_.png,processed,28.006143593687153,0.861841922295962,19.512695103137702,33.04630146190109,0.0010006427764892578
dataset2,uieb_543_img_.png,processed,27.97814090692528,0.8501913256285609,39.17984382683355,34.362459432232285,0.0009980201721191406
dataset2,uieb_563_img_.png,processed,28.13081099908198,0.9314392152850394,30.657864536117557,70.73816517314815,0.0
dataset2,uieb_564_img_.png,processed,27.963624150641845,0.927982891317539,30.0607577703706,77.10315797034868,0.0009586811065673828
dataset2,uieb_56_img_.png,processed,28.17431614771216,0.9249250763323421,34.92852303560923,57.94288735711189,0.000995635986328125
dataset2,uieb_581_img_.png,processed,28.580279669062854,0.9758009519990516,30.528059351526025,34.25269168736942,0.0010111331939697266
dataset2,uieb_586_img_.png,processed,27.67310793614196,0.8867819407411381,28.904103882154203,81.78243003336661,0.0009968280792236328
